所管課,都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
総務課,82333,13,茨城県,行方市,行方市消防団麻生支団第二分団宇崎消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイニブンダンウザキショウボウダンキコツメショ,宇崎消防団機庫詰所,,茨城県行方市宇崎1504-1,,36.016206,140.544998,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,14,茨城県,行方市,行方市消防団麻生支団第二分団岡消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイニブンダンオカショウボウダンキコツメショ,岡消防団機庫詰所,,茨城県行方市岡575-1,,36.022971,140.535584,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,15,茨城県,行方市,行方市消防団麻生支団第三分団大和東消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイサンブンダンヤマトヒガシショウボウダンキコツメショ,大和東消防団機庫詰所,,茨城県行方市天掛459,,36.047599,140.546976,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,16,茨城県,行方市,行方市消防団麻生支団第三分団大和消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイサンブンダンヤマトショウボウダンキコツメショ,大和消防団機庫詰所,,茨城県行方市板峰52-1,,36.038254,140.521856,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,17,茨城県,行方市,行方市消防団麻生支団第三分団四鹿消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイサンブンダンシロクショウボウダンキコツメショ,四鹿消防団機庫詰所,,茨城県行方市四鹿583-2,,36.042385,140.504624,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,18,茨城県,行方市,行方市消防団麻生支団第三分団青沼消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイサンブンダンアオヌマショウボウダンキコツメショ,青沼消防団機庫詰所,,茨城県行方市青沼598-4,,36.03188,140.515566,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,19,茨城県,行方市,行方市消防団麻生支団第四分団於下消防団機庫,ナメガタシショウボウダンアソウシダンダイヨンブンダンオシタショウボウダンキコ,於下消防団機庫,,茨城県行方市於下572-4,,36.039256,140.460037,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,20,茨城県,行方市,行方市消防団麻生支団第四分団今宿消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイヨンブンダンイマジュクショウボウダンキコツメショ,今宿消防団機庫詰所,,茨城県行方市於下1020-4,,36.032355,140.452732,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,21,茨城県,行方市,行方市消防団麻生支団第四分団行方消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイヨンブンダンナメカタショウボウダンキコツメショ,行方消防団機庫詰所,,茨城県行方市行方889-2,,36.045933,140.460669,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,22,茨城県,行方市,行方市消防団麻生支団第四分団船藤消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイヨンブンダンフナフジショウボウダンキコツメショ,船藤消防団機庫詰所,,茨城県行方市船子231-1ほか,,36.04635,140.45223,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,23,茨城県,行方市,行方市消防団麻生支団第四分団五町田消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイヨンブンダンゴチョウダショウボウダンキコツメショ,五町田消防団機庫詰所,,茨城県行方市五町田331-1,,36.047838,140.441637,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,24,茨城県,行方市,行方市消防団麻生支団第五分団小高消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイゴブンダンオダカショウボウダンキコツメショ,小高消防団機庫詰所,,茨城県行方市南571-2ほか,,36.030505,140.47357,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,25,茨城県,行方市,行方市消防団麻生支団第五分団橋門消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイゴブンダンハシカドショウボウダンキコツメショ,橋門消防団機庫詰所,,茨城県行方市橋門179,,36.027615,140.461596,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,26,茨城県,行方市,行方市消防団麻生支団第五分団南消防団機庫,ナメガタシショウボウダンアソウシダンダイゴブンダンミナミショウボウダンキコ,南消防団機庫,,茨城県行方市南171-3,,36.021257,140.471001,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,27,茨城県,行方市,行方市消防団麻生支団第五分団島並消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイゴブンダンシマナミショウボウダンキコツメショ,島並消防団機庫詰所,,茨城県行方市島並1285-3,,36.008921,140.47209,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,28,茨城県,行方市,行方市消防団麻生支団第五分団小高東消防団機庫詰所,ナメガタシショウボウダンアソウシダンダイゴブンダンオダカヒガシショウボウダンキコツメショ,小高東消防団機庫詰所,,茨城県行方市小高1302-15,,36.033541,140.482809,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,29,茨城県,行方市,行方市消防団北浦支団第一分団山田消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイイチブンダンヤマダショウボウダンキコツメショ,山田消防団機庫詰所,,茨城県行方市山田1278-2,,36.073284,140.526206,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,30,茨城県,行方市,行方市消防団北浦支団第一分団吉川消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイイチブンダンヨシカワショウボウダンキコツメショ,吉川消防団機庫詰所,,茨城県行方市吉川1497,,36.056476,140.541298,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,31,茨城県,行方市,行方市消防団北浦支団第一分団中根消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイイチブンダンナカネショウボウダンキコツメショ,中根消防団機庫詰所,,茨城県行方市中根530-2,,36.064116,140.508405,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,32,茨城県,行方市,行方市消防団北浦支団第一分団繁昌消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイイチブンダンハンジョウショウボウダンキコツメショ,繁昌消防団機庫詰所,,茨城県行方市繁昌47-1,,36.067883,140.523179,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,33,茨城県,行方市,行方市消防団北浦支団第二分団行戸消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイニブンダンユクドショウボウダンキコツメショ,行戸消防団機庫詰所,,茨城県行方市行戸240,,36.085345,140.4667,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,34,茨城県,行方市,行方市消防団北浦支団第二分団小幡消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイニブンダンオバタショウボウダンキコツメショ,小幡消防団機庫詰所,,茨城県行方市小幡708-1,,36.077725,140.4806,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,35,茨城県,行方市,行方市消防団北浦支団第二分団高岡消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイニブンダンタカオカショウボウダンキコツメショ,高岡消防団機庫詰所,,茨城県行方市南高岡554-3,,36.066232,140.494795,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,36,茨城県,行方市,行方市消防団北浦支団第三分団小貫消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイサンブンダンオヌキショウボウダンキコツメショ,小貫消防団機庫詰所,,茨城県行方市小貫1369-2,,36.108365,140.470229,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,37,茨城県,行方市,行方市消防団北浦支団第三分団次木消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイサンブンダンナミキショウボウダンキコツメショ,次木消防団機庫詰所,,茨城県行方市次木300-7,,36.102179,140.484308,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,38,茨城県,行方市,行方市消防団北浦支団第三分団両宿・内宿消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイサンブンダンリョウシュク・ウチジュクショウボウダンキコツメショ,宿・内宿消防団機庫詰所,,茨城県行方市内宿187-1,,36.09515,140.510699,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,39,茨城県,行方市,行方市消防団北浦支団第四分団三和消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイヨンブンダンミワショウボウダンキコツメショ,三和消防団機庫詰所,,茨城県行方市三和1515,,36.111151,140.522696,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,40,茨城県,行方市,行方市消防団北浦支団第四分団成田消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイヨンブンダンナリタショウボウダンキコツメショ,成田消防団機庫詰所,,茨城県行方市成田599,,36.105079,140.514215,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,41,茨城県,行方市,行方市消防団北浦支団第四分団長野江消防団機庫詰所,ナメガタシショウボウダンキタウラシダンダイヨンブンダンナガノエショウボウダンキコツメショ,長野江消防団機庫詰所,,茨城県行方市長野江457-1,,36.124449,140.504665,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,42,茨城県,行方市,行方市消防団玉造支団第一分団荒宿消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイイチブンダンアラジュクショウボウダンキコツメショ,荒宿消防団機庫詰所,,茨城県行方市荒宿486,,36.052545,140.44016,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,43,茨城県,行方市,行方市消防団玉造支団第一分団根古屋消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイイチブンダンネゴヤショウボウダンキコツメショ,根古屋消防団機庫詰所,,茨城県行方市井上541-1,,36.060441,140.435359,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,44,茨城県,行方市,行方市消防団玉造支団第一分団西谷消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイイチブンダンニシヤツショウボウダンキコツメショ,西谷消防団機庫詰所,,茨城県行方市井上235,,36.065404,140.432162,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,45,茨城県,行方市,行方市消防団玉造支団第一分団西蓮寺消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイイチブンダンサイレンジショウボウダンキコツメショ,西蓮寺消防団機庫詰所,,茨城県行方市西蓮寺486-1,,36.071024,140.435827,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,46,茨城県,行方市,行方市消防団玉造支団第一分団藤井消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイイチブンダンフジイショウボウダンキコツメショ,藤井消防団機庫詰所,,茨城県行方市藤井180-4,,36.055995,140.446183,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,47,茨城県,行方市,行方市消防団玉造支団第二分団新田・竹の塙消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイニブンダンシンデン・タケノハナワショウボウダンキコツメショ,新田・竹の塙消防団機庫詰所,,茨城県行方市手賀2198,,36.074922,140.427501,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,48,茨城県,行方市,行方市消防団玉造支団第二分団船津消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイニブンダンフナツショウボウダンキコツメショ,船津消防団機庫詰所,,茨城県行方市手賀520,,36.084357,140.418166,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,49,茨城県,行方市,行方市消防団玉造支団第二分団宿消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイニブンダンシュクショウボウダンキコツメショ,宿消防団機庫詰所,,茨城県行方市手賀114-1,,36.088399,140.424642,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,50,茨城県,行方市,行方市消防団玉造支団第二分団新宿・横須賀消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイニブンダンシンジュク・ヨコスカショウボウダンキコツメショ,新宿・横須賀消防団機庫詰所,,茨城県行方市手賀3085-1,,36.090349,140.427832,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,51,茨城県,行方市,行方市消防団玉造支団第二分団小座山消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイニブンダンコザヤマショウボウダンキコツメショ,小座山消防団機庫詰所,,茨城県行方市手賀3985-8,,36.09716,140.44252,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,52,茨城県,行方市,行方市消防団玉造支団第三分団里・内宿消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンサト・ウチジュクショウボウダンキコツメショ,里・内宿消防団機庫詰所,,茨城県行方市玉造甲4618-7,,36.111104,140.422252,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,53,茨城県,行方市,行方市消防団玉造支団第三分団加茂・横町消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンカモ・ヨコマチショウボウダンキコツメショ,加茂・横町消防団機庫詰所,,茨城県行方市玉造乙76-1,,36.111794,140.415891,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,54,茨城県,行方市,行方市消防団玉造支団第三分上宿・川向消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンカミジュク・カワムカイショウボウダンキコツメショ,上宿・川向消防団機庫詰所,,茨城県行方市玉造甲94-6,,36.111338,140.413701,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,55,茨城県,行方市,行方市消防団玉造支団第三分団下宿消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンシモジュクショウボウダンキコツメショ,下宿消防団機庫詰所,,茨城県行方市玉造甲404,,36.104994,140.415728,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,56,茨城県,行方市,行方市消防団玉造支団第三分団高須消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンタカスショウボウダンキコツメショ,高須消防団機庫詰所,,茨城県行方市玉造甲1929,,36.09454,140.405894,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,57,茨城県,行方市,行方市消防団玉造支団第三分団諸井・柄貝消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンモロイ・カラカイショウボウダンキコツメショ,諸井・柄貝消防団機庫詰所,,茨城県行方市玉造甲4238-3,,36.103699,140.419375,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,58,茨城県,行方市,行方市消防団玉造支団第三分団泉消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンイズミショウボウダンキコツメショ,泉消防団機庫詰所,,茨城県行方市玉造甲3158-7,,36.103909,140.434955,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,59,茨城県,行方市,行方市消防団玉造支団第三分団緑ヶ丘消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイサンブンダンミドリガオカショウボウダンキコツメショ,緑ヶ丘消防団機庫詰所,,茨城県行方市玉造甲6523-15,,36.121705,140.444611,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,60,茨城県,行方市,行方市消防団玉造支団第四分団捻木消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイヨンブンダンネジキショウボウダンキコツメショ,捻木消防団機庫詰所,,茨城県行方市捻木460,,36.133464,140.416566,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,61,茨城県,行方市,行方市消防団玉造支団第四分団芹沢消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイヨンブンダンセリザワショウボウダンキコツメショ,芹沢消防団機庫詰所,,茨城県行方市芹沢356-1,,36.138886,140.425635,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,62,茨城県,行方市,行方市消防団玉造支団第四分団上山消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイヨンブンダンカミヤマショウボウダンキコツメショ,上山消防団機庫詰所,,茨城県行方市芹沢785-5,,36.14719,140.440592,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,63,茨城県,行方市,行方市消防団玉造支団第四分団中山消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイヨンブンダンナカヤマショウボウダンキコツメショ,中山消防団機庫詰所,,茨城県行方市芹沢1627-4,,36.132206,140.438453,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,64,茨城県,行方市,行方市消防団玉造支団第四分団若海消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイヨンブンダンワカウミショウボウダンキコツメショ,若海消防団機庫詰所,,茨城県行方市若海454-2,,36.122043,140.424257,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,65,茨城県,行方市,行方市消防団玉造支団第四分団谷島消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイヨンブンダンヤジマショウボウダンキコツメショ,谷島消防団機庫詰所,,茨城県行方市谷島99,,36.109475,140.408957,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,66,茨城県,行方市,行方市消防団玉造支団第五分団沖洲消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイゴブンダンオキスショウボウダンキコツメショ,沖洲消防団機庫詰所,,茨城県行方市沖洲179-1,,36.147395,140.373321,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,67,茨城県,行方市,行方市消防団玉造支団第五分団羽生消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイゴブンダンハニュウショウボウダンキコツメショ,羽生消防団機庫詰所,,茨城県行方市羽生720-2,,36.143945,140.386784,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,68,茨城県,行方市,行方市消防団玉造支団第五分団八木蒔消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイゴブンダンヤキマキショウボウダンキコツメショ,八木蒔消防団機庫詰所,,茨城県行方市八木蒔172-14,,36.12816,140.392568,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
総務課,82333,69,茨城県,行方市,行方市消防団玉造支団第五分団浜消防団機庫詰所,ナメガタシショウボウダンタマツクリシダンダイゴブンダンハマショウボウダンキコツメショ,浜消防団機庫詰所,,茨城県行方市浜530,,36.107946,140.40107,,,,行方市,一般の方への開放施設ではありません,,,,関係者以外利用禁止,,,
財政課,82333,70,茨城県,行方市,行方市役所麻生庁舎,ナメガタシヤクショアソウチョウシャ,麻生庁舎,,茨城県行方市麻生1561-9,,35.990562,140.48896,0299-72-0811,,,行方市,"月火水木金土
",8:30,17:15,"・土曜日は各種証明書発行窓口のみ
・日曜日、祝日、年末年始（12月29日から1月３日まで）は休み
・戸籍の届出については、事前連絡があれば閉庁時間対応可",,優先駐車場有り;多目的トイレ有り;車椅子貸出有り;スロープ有り,https://www.city.namegata.ibaraki.jp/page/page000082.html,
財政課,82333,71,茨城県,行方市,行方市役所北浦庁舎,ナメガタシヤクショキタウラチョウシャ,北浦庁舎,,茨城県行方市山田2564-10,,36.084579,140.532586,0291-35-2111,,,行方市,月火水木金,8:30,17:15,"・土日、祝日、年末年始（12月29日から1月３日まで）は休み
・戸籍の届出については、事前連絡があれば閉庁時間対応可",,優先駐車場有り;多目的トイレ有り;車椅子貸出有り;スロープ有り,https://www.city.namegata.ibaraki.jp/page/page000082.html,
財政課,82333,72,茨城県,行方市,行方市役所玉造庁舎,ナメガタシヤクショタマツクリチョウシャ,玉造庁舎,,茨城県行方市玉造甲404,,36.104834,140.414984,0299-55-0111,,,行方市,月火水木金,8:30,17:15,"・土日、祝日、年末年始（12月29日から1月３日まで）は休み
・戸籍の届出については、事前連絡があれば閉庁時間対応可",,優先駐車場有り;多目的トイレ有り;車椅子貸出有り;スロープ有り,https://www.city.namegata.ibaraki.jp/page/page000082.html,
企画政策課,82333,73,茨城県,行方市,お試し住宅（手賀）,オタメシジュウタク（テガ）,お試し住宅（手賀）,,茨城県行方市手賀4259-2,,36.091554,140.449914,,,,行方市,日月火水木金土,,,"・１回につき、２日以上７日未満（年３回まで、かつ延べ日数15日まで）
・入居又は退去は９：00から16：00までの間",現在利用不可,階段無し,https://www.city.namegata.ibaraki.jp/page/page006158.html,
企画政策課,82333,74,茨城県,行方市,お試し住宅（成田）,オタメシジュウタク（ナリタ）,お試し住宅（成田）,,茨城県行方市成田893-1,,36.100615,140.518043,,,,行方市,日月火水木金土,,,"・１回につき、２日以上７日未満（年３回まで、かつ延べ日数15日まで）
・入居又は退去は９：00から16：00までの間",現在利用不可,階段無し,https://www.city.namegata.ibaraki.jp/page/page006158.html,
情報政策課,82333,75,茨城県,行方市,行方市情報交流センター,ナメガタシジョウホウコウリュウセンター,情報交流センター,,茨城県行方市麻生1570-1,,35.990518,140.489539,0299-72-0811,,,行方市,月火水木金,8:30,17:15,・土日、祝日、年末年始（12月29日から1月３日まで）は休み,,優先駐車場有り;多目的トイレ有り;スロープ有り;段差無し;階段無し;手すり有り,https://www.city.namegata.ibaraki.jp/map.php?type=0&category=4,
社会福祉課,82333,76,茨城県,行方市,行方市障害者地域活動支援センター　ドリームハウス,ナメガタシショウガイシャチイキカツドウシエンセンター　ドリームハウス,ドリームハウス,,茨城県行方市麻生2744-23,,35.999595,140.496137,0299-77-8818 ,,,行方市,月火水木金,9:30,15:00,・土日、祝日、年末年始（12月29日から1月３日まで）は休み,"・障害者地域活動支援センター
・就労継続支援Ｂ型",優先駐車場有り;多目的トイレ有り;スロープ有り;階段無し,https://www.city.namegata.ibaraki.jp/page/page000086.html,
社会福祉課,82333,77,茨城県,行方市,行方市高齢者センター　羽黒山荘,ナメガタシコウレイシャセンター　ハグロサンソウ,羽黒山荘,,茨城県行方市麻生989-1,,35.989859,140.480385,,,,行方市,日月火水木金土,8:30,17:00,・年末年始（12月28日から1月4日まで）は休み,,,https://www.city.namegata.ibaraki.jp/page/page000086.html,
こども福祉課,82333,78,茨城県,行方市,行方市北浦こども館,ナメガタシキタウラコドモカン,北浦こども館,,茨城県行方市内宿358-2,,36.090823,140.508193,,,,行方市,月火水木金土,14:30,18:30,・土曜日、長期休暇中（夏・冬・春休み）は7：30から利用可能,北浦地区放課後児童クラブ事務所,優先駐車場有り;段差無し;階段無し,,
