"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,定休日,営業時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,,
082333,11,茨城県,行方市,萬寿山,マンジュサン,,,行方市白浜127-2,,36.025002,140.55776,水曜日,11時～21時,,,,北浦大橋のたもとに位置する中華屋さん。味噌ラーメンや野菜たっぷりタンメン、皮から手作りのこだわりの餃子は一つがとても大きいです！！,,北浦大橋～186号線経由～白浜ウオーキングセンター付近,,,,0299-73-3503,,,,,,,
082333,12,茨城県,行方市,カネヒラ,カネヒラ,,,行方市麻生1129-1,,35.987515,140.485692,日曜日,9時～16時,,,,お祝い事によく振舞われた花寿司を500円で。季節のお惣菜も350円からご用意もあります。,,"麻生庁舎～麻生陣屋通り
約5分",,,,0299-72-0018,,,,,,,
082333,13,茨城県,行方市,水車,スイシャ,,,行方市麻生401,,35.989468,140.477976,火曜日,要問合せ,,,,麻生で老舗の居酒屋。自慢の羽根つき餃子等,,道の駅～355号(潮来方面）～約20分,,,,0299-72-0057,,,,,,,
082333,14,茨城県,行方市,totoyadining　大和屋,トトヤダイニング　ヤマトヤ,,,行方市南571-5,,36.030629,140.473993,月曜日,17時～23時（金・土のみ24時）,,,,創作料理がおいしい！人気でなかなか予約の取れない居酒屋です,,セイミヤモール麻生店～県道50号(玉造方面）～小高交差点～旧小高小学校付近,,,,0299-77-0157,,,,,,,
082333,15,茨城県,行方市,湖月,コゲツ,,,行方市麻生194,,35.984578,140.480884,不定休,要問合せ,,,,鯉の旨煮に定評がある。スイーツ付きの会食が女性に人気。霞ケ浦を望む宴会場がすてきです。,,"道の駅～355号経由(麻生方
面）～約20分",,,,0299-72-0581,,,,,,,
082333,16,茨城県,行方市,菓子処坂本,カシドコロサカモト,,,行方市麻生1076-3,,35.987182,140.484519,元日,"8時～18時30分
",,,,いちごが丸ごと使われているいちご大福やよもぎたっぷりの草餅は絶品！カフェオレ大福も有名です。,,"麻生庁舎～麻生陣屋通り
約10分",,,,0299-72-0369,,,,,,,
082333,17,茨城県,行方市,Bakery isis,ベーカリー　イズイズ,,,行方市麻生146-3,,35.986131,140.485009,日・月曜日,10時～19時,,,,種類は40種類！ハードパン他、バリエーション豊かでおいしいです。,,道の駅～355号(潮来方面）～約25分,,,,0299-77-9132,,,,,,,
082333,18,茨城県,行方市,ベーカリーかやのみ,ベーカリー　カヤノミ,,,行方市麻生3324-31,,36.011739,140.504615,土・日・月曜日,9時～18時30分,,,,天然酵母や米粉などカラダにやさしい材料を使用しています。イギリスパンやブドウパンがおいしい。,,セイミヤ～県道50号(潮来方面）～石神交差点付近～約5分,,,,0299-77-5601,,,,,,,
082333,19,茨城県,行方市,箕輪商店,ミノワショウテン,,,行方市岡539,,36.022544,140.534891,年中無休,7時～20時,,,,まじりっけなし！！昔ながらの味を守り抜く、自然な甘さのおいしい芋ようかん。観光物産館こいこいで購入できます。,,北浦庁舎～185号(潮来方面）～約30分,,,,0299-73-3010,,,,,,,
82333,20,茨城県,行方市,羽生漬物店,ハニュウツケモノテン,,,行方市麻生1574,,35.990851,140.490382,不定休,8時～18時,,,,赤らっきょうが行方漬物-1グランプリでシニアが選ぶ漬物ナンバー1に選ばれました。,,麻生庁舎の裏付近,,,,0299-72-0335,,,,,,,
082333,21,茨城県,行方市,とんかつきいち,トンカツキイチ,,,行方市玉造甲3518-2,,36.110689,140.447059,火曜日,"11時～15時
17時～20時",,,,行方市のブランド豚、美明豚を使用のロースとんかつや、やわらかいヒレかつが人気の店,,道の駅～354号経由（北浦方面）～約15分,,,,0299-55-3587,,,,,,,
082333,22,茨城県,行方市,さぬきうどん天霧,サヌキウドンアマギリ,,,行方市玉造甲660-1,,36.100501,140.415829,不定休,11時～21時,,,,安くてボリューム満点。注文から料理の提供が早いです。仕事中の時間のないお昼にぴったりです。,,道の駅～354号経由（北浦方面）～約5分ベイシア付近,,,,0299-55-2252,,,,,,,
082333,23,茨城県,行方市,マルゴストアー,マルゴストアー,,,行方市玉造甲6845,,36.126852,140.442448,なし,"9時～16時
",,,,マルゴのおふくろ弁当はワンコイン（500円）の日替わり弁当。メンチやカレーは絶品の看板メニューです。,,玉造工業高校付近,,,,0299-55-2861,,,,,,,
82333,24,茨城県,行方市,煙家,エンヤ,,,行方市玉造甲515-2,,36.103987,140.420794,火曜日,"11時３0分～１３時３０分
１７時～２２時",,,,焼肉屋。リーズナブルな焼肉ランチも人気です。,,道の駅～354号経由（北浦方面）～約5分,,,,0299-36-2000,,,,,,,
082333,25,茨城県,行方市,みのり食堂,ミノリショクドウ,,,行方市玉造甲6840,,36.126741,140.442858,日,"１１時３０分～１４時
17時30分～20時",,,,豊富なメニューの中から1～3品を選べるなめがた御膳が人気です。,,玉造工業高校付近,,,,0299-55-2470,,,,,,,
082333,26,茨城県,行方市,すし処ひらま,スシドコロヒラマ,,,行方市玉造甲522-2,,36.100631,140.42011,月曜日,"11時～14時
17時～21時30分
",,,,新鮮なネタからおいしいお寿司をご提供します。ランチが平均1000円とお得です。,,"道の駅～354号経由（北浦方面）～約5分
",,,,0299-55-4134,,,,,,,
082333,27,茨城県,行方市,吉田屋,ヨシダヤ,,,行方市玉造甲659-1,,36.100545,140.415957,月・元日,9時～18時,,,,人気の豆乳カステラを始め、季節の和菓子をご用意しています。観光物産館こいこいや天王崎観光交流センターコテラスでも購入できます。,,"道の駅～354号経由（北浦方面）～約5分
",,,,0299-55-2242,,,,,,,
082333,28,茨城県,行方市,北浦パークホテル魚福,キタウラパークホテルウオフク,,,行方市山田2856-1,,36.087796,140.521255,火曜日,"11時30分～14時
17時～22時",,,,魚福といえばバラ肉の甘辛味噌炒め！その他れんこんメンチやアジフライなどおいしい料理がいっぱいです。期間限定のワンコイン弁当も人気です。,,"北浦庁舎～水戸鉾田線経
由(麻生方面）～3分",,,,0291-35-2611,,,,https://uofuku.com/,,,
082333,29,茨城県,行方市,小林支店,コバヤシシテン,,,行方市山田1287,,36.073492,140.525875,月曜日,"11時30分～14時
17時～22時",,,,リーズナブルな寿司懐石のお店。,,北浦庁舎～3分,,,,0291-35-2745,,,,,,,
082333,30,茨城県,行方市,ニューいせ山,ニューイセヤマ,,,行方市小貫354,,36.103227,140.483074,"水曜日
(午後）",11時～20時,,,,四季折々にご堪能いただけるメニューをご用意。新鮮な魚介類豊富に使った定食や丼物。幕の内弁当など各種取り揃えています。,,"道の駅～354号経由(北浦方
面）～約15分",,,,0291-35-2083,,,,,,,
082333,31,茨城県,行方市,マガリヤマうま味工房,マガリヤマウマミコウボウ,,,行方市小貫715-69,,36.102274,140.465259,月曜日,10時～18時,,,,"窯から手作り！イタリア産の粉など素材にこだわった耳までおいしいピザ。
昔ながらの干し芋も人気です。",,"北浦庁舎～354線経玉造方面小貫マガリヤマうまみ工房ののぼりを左折
",,,,090-1603-3920,,,,,,,
082333,32,茨城県,行方市,菓心松屋,カシンマツヤ,,,行方市山田3010-5,,36.085501,140.521123,水曜日,９時～１8時30分,,,,季節の果物を使ったケーキ、プリン、ゼリーなど、舌にも目にも楽しいお菓子がたくさんです。,,"北浦庁舎～水戸鉾田線経
由(麻生方面）～3分",,,,0291-35-2646,,,,https://kashin-matsuya.jp/,,,
082333,33,茨城県,行方市,方波見漬物店,カタバミツケモノテン,,,行方市吉川380-2,,36.056528,140.537882,不定休,9時～１７時,,,,行方漬物-1グランプリ初代王者に輝いた「茨城牛蒡風味漬」は絶品です！！観光物産館こいこいや天王崎観光交流センターコテラス、北浦荘にて購入できます,,北浦庁舎～185号(潮来方面）～約15分,,,,0291-35-2017,,,,,,,
082333,34,茨城県,行方市,大平漬物店,オオヒラツケモノテン,,,行方市吉川201,,36.057403,140.542454,不定休,９時～１８時,,,,びっくりするぐらい辛い「茄子のからし漬」はやみつきになるおいしさ。行方漬物ー1グランプリの若者が選ぶナンバー1にきゅうりの「陣屋漬」が選ばれました。,,北浦庁舎～185号(潮来方面）～約20分,,,,0291-35-0885,,,,,,,
082333,35,茨城県,行方市,なめがた米こバウムクーヘン,ナメガタコメコバウムクーヘン,,,行方市玉造甲5259-1,,36.11215,140.44644,年中無休,9時30分～18時,,,,茨城県の食材の魅力をたくさんの方に知っていただきたいと考えヘルシーで美味しいバウムクーヘンを開発しました。,,玉造庁舎～約10分,,,,0299-57-2224,,,,https://namegata-komekobaumkuchen.jp/,,,
082333,36,茨城県,行方市,麺や虎徹,メンヤコテツ,,,行方市玉造甲661-6,,36.10045,140.41537,月曜日,"11時～１4時30分
17時30分～20時",,,,煮干しとシジミから取った出汁と地鶏スープを合わせ、行方産の美明豚の背脂を加えた「背脂地鶏中華そば」などが食べられる自家製麺を使ったラーメン屋。,,玉造庁舎～約5分,,,,0299-35-6238,,,,,,,
082333,37,茨城県,行方市,辺田商店,ヘタショウテン,,,行方市白浜353,,36.03002,140.55721,日曜日,8時～17時,,,,大正時代から続く老舗佃煮店。北浦・霞ヶ浦で獲れた新鮮な湖魚を使ったシラウオ煮干しや川エビの佃煮などを販売している。,,麻生庁舎～約30分,,,,0299-73-3020,,,,,,,
082333,38,茨城県,行方市,酒の松本,サケノマツモト,,,行方市井上2273,,36.06592,140.43237,月曜日,10時～19時,,,,行方市産のサツマイモで造られる芋焼酎「了（さとる）」「紅コガネ」など販売している。,,玉造庁舎～約15分,,,,0299-56-0156,,,,,,,
082333,39,茨城県,行方市,農産物直売所　やさいの声,ノウサンチョクバイジョ　ヤサイノコエ,,,行方市麻生3292-39,,36.01697,140.50291,水曜日・年始,10時～18時,,,,"行方市と近隣地域の農産物を中心に販売。
干し芋やメロンの通信販売も行っている。",,麻生庁舎～約5分,,,,0299-72-0831,,,,,,,
082333,40,茨城県,行方市,緑と風の農園,ミドリトカゼノノウエン,,,行方市山田484,,36.09048,140.5281,不定休,９時～17時,,,,茨城県産トマトに自家製糀の塩糀、スパイスを加えた手作りソース「トマト塩糀」も販売。通販でも入手可能。,,北浦庁舎～（土浦方面）約3分,,,,0291-35-0728,,,,https://www.gwfarm.jp/,,,
082333,41,茨城県,行方市,ランドリー＆喫茶マルベリー,ランドリーアンドキッサマルベリー,,,行方市小高1923,,36.02415,140.46449,火曜日（ランドリー無休）,"喫茶11時～14時/16時～20時
ランドリー24時間",,,,コインランドリーが併設された喫茶店。行方市産レンコンを使った「焼きカレー」なども人気。霞ケ浦から近く、サイクリング途中に利用しやすい。,,麻生庁舎～（石岡方面）約15分,,,,0299-94-2259,,,,,,,
082333,42,茨城県,行方市,カフェフォンティーヌ（吉崎美術館）,カフフォンティーヌ（ヨシザキビジュツカン）,,,行方市富田1567-1,,35.98102,140.50495,水・木曜日　,10時～17時,,,,茨城県潮来市出身の画家・村山密の絵画が展示された美術館に併設されたカフェ。有機栽培コーヒーなどを楽しめる。,,麻生庁舎～(潮来方面）～約10分,,,,0299-72-2188,,,,,,,
082333,43,茨城県,行方市,手打ちそば　松月,テウチソバ　ショウゲツ,,,行方市山田2643-1,,36.08939,140.52928,不定休,"11時～15時
17時～21時",,,,高台に位置し、店内の窓から北浦を一望できる。自家製の手打ちそば・うどんと季節の食材を使った和食を味わえる。,,北浦庁舎～(土浦方面）～約2分,,,,0291-35-2715,,,,,,,
082333,44,茨城県,行方市,カフェ櫻癒,カフェサクライ,,,行方市浜1997-1-102,,36.10707,140.40674,月・水・土,10時～17時,,,,誰でも気軽に入れるカフェはコミニティーの場としての提供もしており、地域の情報発信やサポートをしています。軽食やかき氷など豊富なドリンクメニューでお待ちしています。,,玉造庁舎～（石岡方面）約5分,,,,090-1880-5841,,,,,,,
082333,45,茨城県,行方市,かすみ食堂,カスミショクドウ,,,行方市麻生93-4,,35.98686,140.4873,不定休,"11時30分～14時
17時～19時",,,,美豚ラーメン、餃子がおすすめです。,,麻生庁舎～約3分,,,,0299-72-0179,,,,,,,
082333,46,茨城県,行方市,かみのみや,カミノミヤ,,,行方市小幡1110-1,,36.07182,140.47112,"木
岩盤浴（水～金）",９時～19時,,,,茨城県行方市唯一の岩盤浴施設です。なめがたエリアテレビCM放送。市内イベントで唐揚げ屋さん出店。,,北浦庁舎～約20分,,,,0291-35-2362,,,,,,,
082333,47,茨城県,行方市,Angel　Sweets,エンジェルスイーツ,,,行方市橋門129,,36.02496,140.45977,月・火・木・金・土・日,11時～17時,,,,小さなケーキ屋さん。平飼い卵の米粉ロールケーキと米粉の焼き菓子を中心に販売。売り切れ次第CLOSEとなります。,,麻生庁舎～（石岡方面）約15分,,,,080-7217-0770,,,,,,,
082333,48,茨城県,行方市,甘未工房　芋っ子源次郎,カンミコウボウ　イモッコゲンジロウ,,,行方市麻生3292-39,,36.01697,140.50291,月・水・土,10時～18時,,,,令和7年4月にオープンした「さつまいもスイーツ」店。地元渋谷農園のおいしいさつまいもで作るスイーツはどれも絶品です。,,麻生庁舎～約5分,,,,0299-94-3942,,,,https://imokogenjiro.base.shop/,,,
