"都道府県コード又は
市区町村コード",NO,都道府県名,市区町村名,名称,名称＿カナ,住所,方書,緯度,経度,設置位置,電話番号,内線,法人番号,団体名,利用可能日,開始時間,終了時間
082333,12,茨城県,行方市,北浦中学校,キタウラチュウガッコウ,茨城県行方市内宿390,,36.082273,140.505463,職員室・体育館,0291-35-2161,,,行方市,,,
082333,13,茨城県,行方市,玉造中学校,タマツクリチュウガッコウ,茨城県行方市玉造甲2807,,36.098295,140.425770,職員室後方の壁・講堂１階,0299-55-0131,,,行方市,,,
082333,14,茨城県,行方市,麻生公民館,アソウコウミンカン,茨城県行方市麻生1221,,35.988966,140.483041,1階ギャラリー前,0299-72-1573,,,行方市,,,
082333,15,茨城県,行方市,北浦公民館,キタウラコウミンカン,茨城県行方市山田2175,,36.083747,140.533323,1階階段左側壁,0291-35-3777,,,行方市,,,
082333,16,茨城県,行方市,玉造公民館,タマツクリコウミンカン,茨城県行方市玉造乙1179,,36.103982,140.415105,1階事務室窓口の壁,0299-55-0171,,,行方市,,,
082333,17,茨城県,行方市,麻生体育館,アソウタイイクカン,茨城県行方市南269-1,,36.024617,140.474726,1階事務室窓口の壁,0299-77-0791,,,行方市,,,
082333,18,茨城県,行方市,麻生運動場多目的グラウンド,アソウウンドウジョウタモクテキグラウンド,茨城県行方市島並1257-4,,36.008799,140.473240,管理棟事務室前の壁,0299-72-3955,,,行方市,,,
082333,19,茨城県,行方市,北浦体育館,キタウラタイイクカン,茨城県行方市山田2175,,36.084317,140.530964,1階事務室窓口、2階ロビー,0291-35-2120,,,行方市,,,
082333,20,茨城県,行方市,玉造体育館,タマツクリタイイクカン,茨城県行方市玉造甲3185,,36.099145,140.426435,1階ロビー,0299-55-3211,,,行方市,,,
082333,21,茨城県,行方市,玉造農村環境改善センター,タマツクリノウソンカンキョウカイゼンセンター,茨城県行方市玉造甲3180,,36.099871,140.434007,事務室窓口,0299-55-0130,,,行方市,,,
082333,22,茨城県,行方市,行方市情報交流センター,ナメガタシジョウホウコウリュウセンター,茨城県行方市麻生1570-1,,35.990995,140.488795,ホール左側,0299-72-0811,,,行方市,,,
082333,23,茨城県,行方市,行方市保健センター,ナメガタシホケンセンター,茨城県行方市山田3282-10,,36.082273,140.505463,事務室内窓口左側,0291-34-6200,,,行方市,,,
082333,24,茨城県,行方市,行方市地域包括支援センター,ナメガタシチイキホウカツシエンセンター,茨城県行方市玉造甲478-1,,36.101544,140.416184,事務室入口左側,0299-55-0114,,,行方市,,,
082333,25,茨城県,行方市,北浦温泉「北浦荘」,キタウラオンセン「キタウラソウ」,茨城県行方市山田121,,36.084317,140.530964,１階下駄箱付近,0291-35-2821,,,行方市,,,
082333,26,茨城県,行方市,あそう温泉「白帆の湯」,アソウオンセン「シラホノユ」,茨城県行方市麻生421-3,,35.987182,140.472919,１階階段左側,0299-80-6622,,,行方市,,,
082333,27,茨城県,行方市,霞ヶ浦ふれあいランド（虹の塔）,カスミガウラフレアイランド（ニジノトウ）,茨城県行方市玉造甲1234,,36.097371,140.404816,虹の塔受付前,0299-55-3927,,,行方市,,,
082333,28,茨城県,行方市,観光物産館「こいこい」,カンコウブッサンカン「コイコイ」,茨城県行方市玉造甲1963-5,,36.096613,140.400769,トイレ入口,0299-36-2781,,,行方市,,,
082333,29,茨城県,行方市,麻生小学校（麻生キッズ）,アソウショガッコウ（アソウキッズ）,茨城県行方市麻生1147-1,,35.989422,140.483610,学童保育室,0299-55-0130,,,行方市,,,
082333,30,茨城県,行方市,麻生東小学校（麻生東キッズ）,アソウヒガシショウガッコウ（アソウヒガシキッズ）,茨城県行方市蔵川549,,36.031331,140.521273,学童保育室前廊下,0299-55-0130,,,行方市,,,
082333,31,茨城県,行方市,北浦小学校（北浦キッズ）　,キタウラショウガッコウ（キタウラキッズ）,茨城県行方市内宿358-2,,36.082273,140.505463,学童保育利用施設内,0299-55-0130,,,行方市,,,
